person,personLabel,cricinfoIdLabel,Wikipedia_page_links,Wikipedia_image_link
http://www.wikidata.org/entity/Q14946879,Mark Lowrey,16359,https://en.wikipedia.org/wiki/Mark_Lowrey_(cricketer),nan
http://www.wikidata.org/entity/Q6249486,John Morris,17102,"https://en.wikipedia.org/wiki/John_Morris_(cricketer,_born_1964)",File:JohnMorrisCanterbury.jpg
http://www.wikidata.org/entity/Q3526492,Martyn Moxon,17119,https://en.wikipedia.org/wiki/Martyn_Moxon,nan
http://www.wikidata.org/entity/Q7804020,Tim Munton,17125,https://en.wikipedia.org/wiki/Tim_Munton,nan
http://www.wikidata.org/entity/Q6957521,Nadeem Malik,17149,https://en.wikipedia.org/wiki/Nadeem_Malik_(cricketer),nan
http://www.wikidata.org/entity/Q4892020,Berkeley Gaskin,51878,https://en.wikipedia.org/wiki/Berkeley_Gaskin,nan
http://www.wikidata.org/entity/Q5212428,Damien Fleming,5239,https://en.wikipedia.org/wiki/Damien_Fleming,nan
http://www.wikidata.org/entity/Q4724396,Algy Gehrs,5375,https://en.wikipedia.org/wiki/Algy_Gehrs,File:Algy_Gehrs_Cricket_1905_-_Copy.png
http://www.wikidata.org/entity/Q13635758,Helen Stother,53859,https://en.wikipedia.org/wiki/Helen_Stother,nan
http://www.wikidata.org/entity/Q6748072,Mandie Godliman,53892,https://en.wikipedia.org/wiki/Mandie_Godliman,nan
http://www.wikidata.org/entity/Q16740157,Liz Signal,54443,https://en.wikipedia.org/wiki/Liz_Signal,nan
http://www.wikidata.org/entity/Q3527065,Alicia Smith,54594,https://en.wikipedia.org/wiki/Alicia_Smith,nan
http://www.wikidata.org/entity/Q25513884,Mette Gregersen,54957,https://en.wikipedia.org/wiki/Mette_Gregersen,nan
http://www.wikidata.org/entity/Q24053803,Gwen Smith,55153,https://en.wikipedia.org/wiki/Gwen_Smith,nan
http://www.wikidata.org/entity/Q3525155,David Houghton,55497,https://en.wikipedia.org/wiki/David_Houghton_(cricketer),nan
http://www.wikidata.org/entity/Q5257286,Denis Hickey,5649,https://en.wikipedia.org/wiki/Denis_Hickey,nan
http://www.wikidata.org/entity/Q6113097,Jack Hill,5663,https://en.wikipedia.org/wiki/Jack_Hill_(cricketer),File:Jack_Hill_(cricketer)_1953.jpg
http://www.wikidata.org/entity/Q7293134,Ranji Hordern,5706,https://en.wikipedia.org/wiki/H._V._Hordern,File:%27Ranji%27_Hordern.png
http://www.wikidata.org/entity/Q6831023,Michael Haysman,5919,https://en.wikipedia.org/wiki/Mike_Haysman,nan
http://www.wikidata.org/entity/Q5487404,Frank Iredale,5976,https://en.wikipedia.org/wiki/Frank_Iredale,File:Frank_Iredale_by_Rolfe.jpg
http://www.wikidata.org/entity/Q7409780,Sammy Jones,6050,https://en.wikipedia.org/wiki/Sammy_Jones,File:SPJones.jpg
http://www.wikidata.org/entity/Q7519090,Simon Katich,6128,https://en.wikipedia.org/wiki/Simon_Katich,File:Katich2.jpg
http://www.wikidata.org/entity/Q2830534,Alan Kippax,6154,https://en.wikipedia.org/wiki/Alan_Kippax,File:KippaxSignature.jpg
http://www.wikidata.org/entity/Q4977827,Bruce Laird,6250,https://en.wikipedia.org/wiki/Bruce_Laird,nan
http://www.wikidata.org/entity/Q26992,Stuart Law,6274,https://en.wikipedia.org/wiki/Stuart_Law,nan
http://www.wikidata.org/entity/Q7183965,Philip Lee,6280,https://en.wikipedia.org/wiki/Philip_Lee_(cricketer),File:PerkaLee.jpg
http://www.wikidata.org/entity/Q5487874,Frank Laver,6402,https://en.wikipedia.org/wiki/Frank_Laver,File:Frank_Laver_c1905.jpg
http://www.wikidata.org/entity/Q4805512,Ashley Mallett,6472,https://en.wikipedia.org/wiki/Ashley_Mallett,File:Ashley_Mallett_2.jpg
http://www.wikidata.org/entity/Q3483132,Sid Barnes,4098,https://en.wikipedia.org/wiki/Sid_Barnes,File:SidBarnesHeadshot.jpg
http://www.wikidata.org/entity/Q21642266,Khaqan Arsal,41225,https://en.wikipedia.org/wiki/Khaqan_Arsal,nan
http://www.wikidata.org/entity/Q21474184,Mohammad Altaf,41332,nan,nan
http://www.wikidata.org/entity/Q3632298,Andy Bichel,4146,https://en.wikipedia.org/wiki/Andy_Bichel,File:Andy_Bichel.jpg
http://www.wikidata.org/entity/Q6967090,Nasim Khan,42116,https://en.wikipedia.org/wiki/Nasim_Khan_(cricketer),nan
http://www.wikidata.org/entity/Q7402651,Sajid Shah,42611,https://en.wikipedia.org/wiki/Sajid_Shah,nan
http://www.wikidata.org/entity/Q7403846,Saleem Altaf,42616,https://en.wikipedia.org/wiki/Saleem_Altaf,nan
http://www.wikidata.org/entity/Q7462697,Shakeel Khan,42652,https://en.wikipedia.org/wiki/Shakeel_Khan_(cricketer),nan
http://www.wikidata.org/entity/Q12989691,Horace Chapman,44430,https://en.wikipedia.org/wiki/Horace_Chapman_(cricketer),nan
http://www.wikidata.org/entity/Q20981438,Werner Coetsee,44660,https://en.wikipedia.org/wiki/Werner_Coetsee,nan
http://www.wikidata.org/entity/Q4706492,Alan Dawson,44682,https://en.wikipedia.org/wiki/Alan_Dawson_(cricketer),nan
http://www.wikidata.org/entity/Q5084846,Charlie Finlason,45051,https://en.wikipedia.org/wiki/Charlie_Finlason,nan
http://www.wikidata.org/entity/Q5200730,Cyril Francois,45074,https://en.wikipedia.org/wiki/Cyril_Francois,nan
http://www.wikidata.org/entity/Q1428440,Michael Clarke,4578,https://en.wikipedia.org/wiki/Michael_Clarke_(cricketer),File:Pm_cricket_shots09_5995.jpg
http://www.wikidata.org/entity/Q5524901,Gary Cosier,4629,https://en.wikipedia.org/wiki/Gary_Cosier,nan
http://www.wikidata.org/entity/Q5981297,Ian Craig,4652,https://en.wikipedia.org/wiki/Ian_Craig,File:Ian_Craig_1960.jpg
http://www.wikidata.org/entity/Q13118828,Pat Crawford,4656,https://en.wikipedia.org/wiki/Pat_Crawford,nan
http://www.wikidata.org/entity/Q4756717,Andrew Crook,4661,https://en.wikipedia.org/wiki/Andrew_Crook,File:Andrew_Crook.jpg
